Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (m),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
11,Malara,Siunkimatmaa,Siunkimatmaa County,Torvia,Torvian Empire,Soumi,Soumi Deities,12218,44.09,-69.08,25,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Malara&population=12218&size=33&seed=6656582340011&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
12,Leigh,Bar,Bar Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,4769,35.21,-123.95,36,capital,port,citadel,walls,,temple,,https://watabou.github.io/city-generator?name=Leigh&population=4769&size=23&seed=6656582340012&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=0.58
13,Urios,Miquejon,Miquejon Landgrave,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,41633,-37.73,-25.6,64,capital,port,citadel,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Urios&population=41633&size=53&seed=6656582340013&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.71
14,Baklaus,Strand,Strand County,Flostia,Principality of Flostia,Norse,Norse Ancestors,34751,43.28,-99.19,4,capital,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Baklaus&population=34751&size=50&seed=6656582340014&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
15,Casos,Casos,Casos County,Torta,Kingdom of Torta,Astellian,Astellian Spirits,13679,-5.21,-67.69,169,capital,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Casos&population=13679&size=35&seed=6656582340015&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
16,Viastoda,Bonalesia,Bonalesia Earldom,Hutan,Duchy of Hutan,Astellian,Astellian Spirits,23966,-23.72,-31.1,729,capital,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Viastoda&population=23966&size=43&seed=6656582340016&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
17,Riofrioreda,Honca,Honca Parish,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,3903,-5.85,-39.63,16,,,,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Riofrioreda&population=3903&size=22&seed=6656582340017&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
18,Pulba,Pulba,Pulba Deanery,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,16631,-8.72,-52.23,16,,,citadel,,,temple,,https://watabou.github.io/city-generator?name=Pulba&population=16631&size=38&seed=6656582340018&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
19,Karvi,Forlonteja,Forlonteja Landgrave,Castricia,Castrician Empire,Soumi,Soumi Deities,3210,40.49,-24.67,16,,,citadel,,,,,https://watabou.github.io/city-generator?name=Karvi&population=3210&size=20&seed=6656582340019&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
20,Klyapech,Klyapech,Klyapech State,Modets,United Provinces of Modets,Slovan,Slovan Spirits,29543,-39.46,-93.78,81,,port,citadel,walls,,,shanty town,https://watabou.github.io/city-generator?name=Klyapech&population=29543&size=47&seed=6656582340020&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=1&gates=-1&sea=1.4
21,Barden,Fadingham,Fadingham Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,2667,9.91,-126.18,16,,port,,,,temple,,https://watabou.github.io/city-generator?name=Barden&population=2667&size=19&seed=6656582340021&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1&sea=0.07
22,Nickkasa,Jung,Jung Landgrave,Castricia,Castrician Empire,Soumi,Soumi Deities,14873,42.18,-33.92,49,,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Nickkasa&population=14873&size=36&seed=6656582340022&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.92
23,Carreallane,Cueria,Cueria Dependency,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,1735,-41.95,-23.2,36,,,,,,,,https://watabou.github.io/city-generator?name=Carreallane&population=1735&size=16&seed=6656582340023&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
24,Uxbrid,Pichamia,Pichamia Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,15160,41.56,-119.78,16,,,,walls,,temple,,https://watabou.github.io/city-generator?name=Uxbrid&population=15160&size=36&seed=6656582340024&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
25,Capro,Mantia,Mantia County,Anzia,Grand Duchy of Anzia,Tallian,Tallian Gods,2513,2.34,-31.99,81,,port,citadel,walls,,,,https://watabou.github.io/city-generator?name=Capro&population=2513&size=18&seed=6656582340025&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.05
26,Pedev,Pedev,Pedev Deanery,Luzboria,Exarchate of Luzboria,Slovan,Horchecilian Religion,36647,-49.87,-74.47,25,,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Pedev&population=36647&size=51&seed=6656582340026&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.05
27,Storfi,Hoyavland,Hoyavland Region,Flostia,Principality of Flostia,Norse,Norse Ancestors,2761,36.29,-110.6,100,,port,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Storfi&population=2761&size=19&seed=6656582340027&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.69
28,Senedara,Pulpivias,Pulpivias Landgrave,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,9189,-41.1,-37.36,256,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Senedara&population=9189&size=30&seed=6656582340028&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
29,Boropejon,Sieda,Sieda Landgrave,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,2428,-29.28,-20.4,9,,port,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Boropejon&population=2428&size=18&seed=6656582340029&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.76
30,Marcy,Fateaulevil,Fateaulevil County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,21351,19.56,73.86,784,,,citadel,walls,,temple,shanty town,https://watabou.github.io/city-generator?name=Marcy&population=21351&size=41&seed=6656582340030&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=1&gates=-1
31,Zizhets,Klyapech,Klyapech State,Modets,United Provinces of Modets,Slovan,Slovan Spirits,2919,-37.08,-90.58,256,,,,,plaza,,,https://watabou.github.io/city-generator?name=Zizhets&population=2919&size=19&seed=6656582340031&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
32,Lejareda,Lejareda,Lejareda Parish,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,15022,-2.99,-45.65,81,,port,,,,temple,,https://watabou.github.io/city-generator?name=Lejareda&population=15022&size=36&seed=6656582340032&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1&sea=1.73
33,Ponte,Rivia,Rivia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,12991,20.75,-38.02,16,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Ponte&population=12991&size=34&seed=6656582340033&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
34,Foriedberg,Blum,Blum Area,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,7469,23.03,95.94,100,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Foriedberg&population=7469&size=28&seed=6656582340034&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
35,Meshkov,Demil,Demil Clan,Modets,United Provinces of Modets,Slovan,Slovan Spirits,2755,-34.19,-89.44,361,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Meshkov&population=2755&size=19&seed=6656582340035&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
36,Satangui,Satangui,Satangui Land,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,2398,-12.26,-47.12,81,,,,,,temple,,https://watabou.github.io/city-generator?name=Satangui&population=2398&size=18&seed=6656582340036&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
37,Thigny,Neurangy,Neurangy Province,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,14981,-4.02,52.33,49,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Thigny&population=14981&size=36&seed=6656582340037&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
38,Kinverleigh,Retletownia,Retletownia Territory,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,6409,-33.43,-106.52,25,,,,,,,,https://watabou.github.io/city-generator?name=Kinverleigh&population=6409&size=26&seed=6656582340038&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
39,Roret,Morcia,Morcia County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,2714,20.9,62.13,25,,port,citadel,walls,,,,https://watabou.github.io/city-generator?name=Roret&population=2714&size=19&seed=6656582340039&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.76
40,Mitford,Retletownia,Retletownia Territory,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,7430,-29.12,-101.14,100,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Mitford&population=7430&size=28&seed=6656582340040&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.95
41,Celmonsano,Celmonsano,Celmonsano Barony,Anzia,Grand Duchy of Anzia,Tallian,Tallian Gods,28856,-4.27,-34.05,36,,,citadel,walls,,,shanty town,https://watabou.github.io/city-generator?name=Celmonsano&population=28856&size=46&seed=6656582340041&river=1&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=1&gates=-1
42,Vodingland,Skordavik,Skordavik Earldom,Flostia,Principality of Flostia,Norse,Norse Ancestors,1946,45.19,-103.44,49,,,citadel,,,,,https://watabou.github.io/city-generator?name=Vodingland&population=1946&size=17&seed=6656582340042&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
43,Piruerones,Mordeterra,Mordeterra County,Castricia,Castrician Empire,Astellian,Astellian Spirits,2652,-3.33,-52.16,100,,port,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Piruerones&population=2652&size=19&seed=6656582340043&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.21
44,Etlinlinfel,Waldbrinia,Waldbrinia Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,4475,0.93,119.67,256,,,citadel,,,,,https://watabou.github.io/city-generator?name=Etlinlinfel&population=4475&size=23&seed=6656582340044&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
45,Sontivi,Forlonteja,Forlonteja Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,1735,38.64,-23.32,81,,,citadel,,,,,https://watabou.github.io/city-generator?name=Sontivi&population=1735&size=16&seed=6656582340045&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
46,Guiba,Guiba,Guiba Province,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,15104,-22.85,81.83,9,,port,,walls,plaza,,,https://watabou.github.io/city-generator?name=Guiba&population=15104&size=36&seed=6656582340046&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=2
47,Miragoindim,Fortiratao,Fortiratao Earldom,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,7465,-31.16,90.36,25,,,citadel,,,,,https://watabou.github.io/city-generator?name=Miragoindim&population=7465&size=28&seed=6656582340047&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
48,Kapelden,Sel,Sel Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,2461,39.55,88.31,9,,port,,,,,,https://watabou.github.io/city-generator?name=Kapelden&population=2461&size=18&seed=6656582340048&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.25
49,Pohmojala,Kite,Kite Captaincy,Torvia,Torvian Empire,Soumi,Soumi Deities,26929,24.74,-75.73,9,,,,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Pohmojala&population=26929&size=45&seed=6656582340049&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
50,Barkehamber,Bamburgh,Bamburgh Territory,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,2560,-27.48,-112.78,121,,port,,walls,,,,https://watabou.github.io/city-generator?name=Barkehamber&population=2560&size=19&seed=6656582340050&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.35
51,Dines,Lerelly,Lerelly Province,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,3001,-6.4,55.02,25,,,,,,,,https://watabou.github.io/city-generator?name=Dines&population=3001&size=20&seed=6656582340051&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
52,Keihimat,Kumara,Kumara Territory,Torvia,Torvian Empire,Soumi,Soumi Deities,6903,45.21,-78.26,121,,,,,,,,https://watabou.github.io/city-generator?name=Keihimat&population=6903&size=27&seed=6656582340052&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
53,Kelfach,Steisach,Steisach County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,8874,-19.33,97.97,121,,port,,walls,,,,https://watabou.github.io/city-generator?name=Kelfach&population=8874&size=30&seed=6656582340053&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.22
54,Reich,Schon,Schon Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,6046,-25.12,102.04,4,,port,,,,,,https://watabou.github.io/city-generator?name=Reich&population=6046&size=26&seed=6656582340054&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.09
55,Vicetonetel,Patro,Patro Island,Anzia,Grand Duchy of Anzia,Tallian,Tallian Gods,3188,1.33,-16.93,25,,port,,,plaza,,,https://watabou.github.io/city-generator?name=Vicetonetel&population=3188&size=20&seed=6656582340055&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.78
56,Malheimama,Riria,Riria Territory,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,6951,-18.2,94.73,36,,port,citadel,walls,,,,https://watabou.github.io/city-generator?name=Malheimama&population=6951&size=27&seed=6656582340056&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.84
57,Kupundisa,Aimatsalia,Aimatsalia County,Castricia,Castrician Empire,Soumi,Soumi Deities,9410,45.47,-27.89,36,,,,,,,,https://watabou.github.io/city-generator?name=Kupundisa&population=9410&size=30&seed=6656582340057&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
58,Courtemou,Courtemou,Courtemou Landgrave,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,8990,18.61,42.37,36,,port,,,plaza,,,https://watabou.github.io/city-generator?name=Courtemou&population=8990&size=30&seed=6656582340058&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.45
59,Waldbron,Biedenkirch,Biedenkirch County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1675,9.43,111.54,121,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Waldbron&population=1675&size=16&seed=6656582340059&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
60,Seres,Tersun,Tersun Deanery,Luzboria,Exarchate of Luzboria,Slovan,Horchecilian Religion,14723,-40.33,-59.78,16,,,citadel,walls,,temple,,https://watabou.github.io/city-generator?name=Seres&population=14723&size=36&seed=6656582340060&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
61,Givre,Barvaugy,Barvaugy County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,1461,25.72,69.15,361,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Givre&population=1461&size=15&seed=6656582340061&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
62,Ortoncestow,Ponland,Ponland Islands,Chichet,Chichetian Theocracy,Angshire,Old Angshire Beliefs,1736,8.31,-128.53,36,,,,,,temple,,https://watabou.github.io/city-generator?name=Ortoncestow&population=1736&size=16&seed=6656582340062&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
63,Vanoriana,Vanoriana,Vanoriana Territory,Castricia,Castrician Empire,Tallian,Tallian Gods,3620,7.36,-36.77,64,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Vanoriana&population=3620&size=21&seed=6656582340063&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
64,Mongatano,Mongatano,Mongatano Island,Ardon,Kingdom of Ardon,Tallian,Tallian Gods,2414,33.42,-11.66,36,,port,,,,,,https://watabou.github.io/city-generator?name=Mongatano&population=2414&size=18&seed=6656582340064&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.38
65,Barrino,Mordeterra,Mordeterra County,Castricia,Castrician Empire,Tallian,Tallian Gods,16681,0.99,-48.34,289,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Barrino&population=16681&size=38&seed=6656582340065&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
66,Drestnia,Tersun,Tersun Deanery,Luzboria,Exarchate of Luzboria,Slovan,Horchecilian Religion,4747,-46.67,-64.85,81,,,,,,temple,,https://watabou.github.io/city-generator?name=Drestnia&population=4747&size=23&seed=6656582340066&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
67,Fouche,Fouche,Fouche Shire,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,9140,23.53,77.45,36,,,citadel,,,,,https://watabou.github.io/city-generator?name=Fouche&population=9140&size=30&seed=6656582340067&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
68,Antepi,Antepi,Antepi Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,12276,18.51,-21.72,100,,,,,plaza,,,https://watabou.github.io/city-generator?name=Antepi&population=12276&size=33&seed=6656582340068&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
69,Acherntalden,Freisachia,Freisachia Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,9123,9.1,117.97,324,,,,,plaza,,,https://watabou.github.io/city-generator?name=Acherntalden&population=9123&size=30&seed=6656582340069&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
70,Cambrigh,Pilboria,Pilboria State,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,17561,-42.13,-92.73,25,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Cambrigh&population=17561&size=38&seed=6656582340070&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
71,Schwonigs,Beldenland,Beldenland County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,13942,5.94,108.6,400,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Schwonigs&population=13942&size=35&seed=6656582340071&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
72,Sudlewes,Midgewenia,Midgewenia Territory,Chichet,Chichetian Theocracy,Angshire,Ostowleighian Faith,1748,-3.14,-123.9,144,,,,,plaza,temple,,https://watabou.github.io/city-generator?name=Sudlewes&population=1748&size=16&seed=6656582340072&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
73,Molinies,Chibaqia,Chibaqia Island,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,1597,-41.23,-17.13,4,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Molinies&population=1597&size=16&seed=6656582340073&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
74,Wistorough,Feltashia,Feltashia Canton,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,2344,-45.89,-88.56,16,,,,,plaza,,,https://watabou.github.io/city-generator?name=Wistorough&population=2344&size=18&seed=6656582340074&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
